Year,SERIES,UNIT_MEASURE,Nivo opterećenja,Problemi domaćinstva,Stepen urbanizacije,Usluge,Pristupačnost,Value
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Ukupno,,,98.8
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Ukupno,,,99.7
2021/22,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Ukupno,,,99.8
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Urbano,,,99.3
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Urbano,,,99.9
2021/22,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Urbano,,,100.0
2011,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Ostalo,,,98.3
2015,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Ostalo,,,99.6
2021/22,Udio stanovništva koji koristi osnovne usluge pitke vode,Procenat,,,Ostalo,,,99.6
2011,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Veliko opterećenje,,,,,2.1
2015,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Veliko opterećenje,,,,,7.4
2021/22,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Veliko opterećenje,,,,,15.2
2011,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Određeno opterećenje,,,,,56.5
2015,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Određeno opterećenje,,,,,53.9
2021/22,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Određeno opterećenje,,,,,45.7
2011,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Nisu opterećeni,,,,,40.6
2015,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Nisu opterećeni,,,,,38.7
2021/22,Procenat domaćinstava preopterećenih  troškovima stanovanja,Procenat,Nisu opterećeni,,,,,39.0
2011,Stanovništvo koje ne može da održi dom dovoljno toplim,Procenat,,,,,,16.7
2015,Stanovništvo koje ne može da održi dom dovoljno toplim,Procenat,,,,,,11.1
2021/22,Stanovništvo koje ne može da održi dom dovoljno toplim,Procenat,,,,,,9.2
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Neadekvatna osvjetljenost stambene jedinice pri dnevnom svjetlu,,,,7.5
2015,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Neadekvatna osvjetljenost stambene jedinice pri dnevnom svjetlu,,,,5.6
2021/22,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Neadekvatna osvjetljenost stambene jedinice pri dnevnom svjetlu,,,,3.1
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Neadekvatno grijanje stambene jedinice,,,,16.7
2015,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Neadekvatno grijanje stambene jedinice,,,,11.1
2021/22,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Neadekvatno grijanje stambene jedinice,,,,9.2
2011,Problemi domaćinstva sa stambenom jedinicom,Procenat,,Truli prozorski okviri ili vrata stambene jedinice,,,,14.3
