Year,SERIES,UNIT_MEASURE,Spol,COMPOSITE_BREAKDOWN,Nivo obrazovanja,Stepen urbanizacije,Godine,Value
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,60.8
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,64.8
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,64.5
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,68.7
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,62.5
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,67.1
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,63.0
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,68.2
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,64.4
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,73.5
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,66.9
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,70.7
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,58.3
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,62.6
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,64.7
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,65.2
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,58.7
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,Ukupno,16 do 74 godine,63.9
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,65.1
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,69.7
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.6
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,73.4
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.5
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,77.1
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,66.8
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.1
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.0
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,79.7
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,74.8
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Ukupno,Svi dobni rasponi ili nema podjele po godinama,79.5
