Year,SERIES,AGE,SEX,UNIT_MEASURE,Value
2013,SI_COV_UEMP,,,PT,4.9
2014,SI_COV_UEMP,,,PT,5.0
2015,SI_COV_UEMP,,,PT,4.9
2016,SI_COV_UEMP,,,PT,5.1
2017,SI_COV_UEMP,,,PT,4.9
2018,SI_COV_UEMP,,,PT,4.8
2019,SI_COV_UEMP,,,PT,4.7
2020,SI_COV_UEMP,,,PT,4.7
2021,SI_COV_UEMP,,,PT,4.6
2022,SI_COV_UEMP,,,PT,5.1
2013,SI_COV_NOEMP,,,PT,2.6
2014,SI_COV_NOEMP,,,PT,2.5
2015,SI_COV_NOEMP,,,PT,2.7
2016,SI_COV_NOEMP,,,PT,2.9
2017,SI_COV_NOEMP,,,PT,3.2
2018,SI_COV_NOEMP,,,PT,3.1
2019,SI_COV_NOEMP,,,PT,3.6
2020,SI_COV_NOEMP,,,PT,4.3
2021,SI_COV_NOEMP,,,PT,3.3
2022,SI_COV_NOEMP,,,PT,3.6
2023,SI_COV_NOEMP,,,PT,4.5
2013,SI_COV_SOCAST,Y0T17,M,PT,39.724
2014,SI_COV_SOCAST,Y0T17,M,PT,41.589
2015,SI_COV_SOCAST,Y0T17,M,PT,40.910
2016,SI_COV_SOCAST,Y0T17,M,PT,42.879
2017,SI_COV_SOCAST,Y0T17,M,PT,41.978
2018,SI_COV_SOCAST,Y0T17,M,PT,42.632
2019,SI_COV_SOCAST,Y0T17,M,PT,41.905
2020,SI_COV_SOCAST,Y0T17,M,PT,41.242
2021,SI_COV_SOCAST,Y0T17,M,PT,38.859
2022,SI_COV_SOCAST,Y0T17,M,PT,38.943
2013,SI_COV_SOCAST,Y_GE18,M,PT,114.513
2014,SI_COV_SOCAST,Y_GE18,M,PT,121.558
2015,SI_COV_SOCAST,Y_GE18,M,PT,119.050
2016,SI_COV_SOCAST,Y_GE18,M,PT,123.733
2017,SI_COV_SOCAST,Y_GE18,M,PT,130.066
2018,SI_COV_SOCAST,Y_GE18,M,PT,135.600
2019,SI_COV_SOCAST,Y_GE18,M,PT,135.695
2020,SI_COV_SOCAST,Y_GE18,M,PT,137.063
2021,SI_COV_SOCAST,Y_GE18,M,PT,138.055
2022,SI_COV_SOCAST,Y_GE18,M,PT,131.873
2013,SI_COV_SOCAST,Y0T17,F,PT,34.816
2014,SI_COV_SOCAST,Y0T17,F,PT,37.123
2015,SI_COV_SOCAST,Y0T17,F,PT,35.725
2016,SI_COV_SOCAST,Y0T17,F,PT,35.626
2017,SI_COV_SOCAST,Y0T17,F,PT,35.140
2018,SI_COV_SOCAST,Y0T17,F,PT,36.268
2019,SI_COV_SOCAST,Y0T17,F,PT,35.827
2020,SI_COV_SOCAST,Y0T17,F,PT,35.440
2021,SI_COV_SOCAST,Y0T17,F,PT,34.416
2022,SI_COV_SOCAST,Y0T17,F,PT,35.677
2013,SI_COV_SOCAST,Y_GE18,F,PT,119.813
2014,SI_COV_SOCAST,Y_GE18,F,PT,132.081
2015,SI_COV_SOCAST,Y_GE18,F,PT,124.415
2016,SI_COV_SOCAST,Y_GE18,F,PT,133.755
2017,SI_COV_SOCAST,Y_GE18,F,PT,122.188
2018,SI_COV_SOCAST,Y_GE18,F,PT,127.329
2019,SI_COV_SOCAST,Y_GE18,F,PT,123.576
2020,SI_COV_SOCAST,Y_GE18,F,PT,135.778
2021,SI_COV_SOCAST,Y_GE18,F,PT,133.000
2022,SI_COV_SOCAST,Y_GE18,F,PT,135.627
